type	latitude	longitude	altitude (m)	name	desc
W	48.677639100	6.195535400	209.0	University Residence Provençal, Rue Mademoiselle, Nancy	
W	48.651578200	6.147532400	375.4	ENSEM, Avenue de la Forêt de Haye, Vandœuvre-lès-Nancy	

type	latitude	longitude	altitude (m)	name	desc
T	48.677640000	6.195540000	209.0	Directions from University Residence Provençal, Rue Mademoiselle, Nancy to ENSEM, Avenue de la Forêt de Haye, Vandœuvre-lès-Nancy	
T	48.677640000	6.195520000	209.0		
T	48.677640000	6.195460000	209.0		
T	48.677680000	6.195410000	209.0		
T	48.677730000	6.195370000	209.0		
T	48.677800000	6.195320000	209.1		
T	48.677870000	6.195260000	209.4		
T	48.677930000	6.195190000	209.7		
T	48.678000000	6.195080000	209.9		
T	48.678120000	6.194900000	210.3		
T	48.678190000	6.194800000	210.4		
T	48.678330000	6.194620000	210.4		
T	48.678470000	6.194430000	210.5		
T	48.678720000	6.194850000	209.3		
T	48.678860000	6.195070000	208.8		
T	48.678820000	6.195140000	208.6		
T	48.678730000	6.195270000	208.6		
T	48.678470000	6.195650000	208.7		
T	48.678170000	6.196070000	208.0		
T	48.678100000	6.196160000	208.0		
T	48.678040000	6.196240000	208.0		
T	48.678000000	6.196300000	208.1		
T	48.677960000	6.196380000	208.0		
T	48.677930000	6.196500000	207.8		
T	48.677890000	6.196500000	207.8		
T	48.677850000	6.196520000	207.9		
T	48.677830000	6.196530000	207.9		
T	48.677730000	6.196600000	208.2		
T	48.677560000	6.196730000	208.6		
T	48.677490000	6.196710000	208.9		
T	48.677320000	6.196610000	209.0		
T	48.677050000	6.196440000	209.6		
T	48.676980000	6.196400000	209.9		
T	48.676810000	6.196310000	210.0		
T	48.676520000	6.196150000	210.0		
T	48.676480000	6.196090000	210.1		
T	48.676420000	6.196040000	210.3		
T	48.676390000	6.196030000	210.3		
T	48.676330000	6.195980000	210.5		
T	48.676280000	6.195940000	210.6		
T	48.676250000	6.195910000	210.7		
T	48.676200000	6.195880000	210.8		
T	48.676140000	6.195830000	211.0		
T	48.676100000	6.195780000	211.0		
T	48.676090000	6.195780000	210.9		
T	48.676050000	6.195820000	210.8		
T	48.676020000	6.195840000	210.6		
T	48.676000000	6.195860000	210.5		
T	48.675980000	6.195900000	210.3		
T	48.675970000	6.195990000	209.9		
T	48.675790000	6.195980000	209.4		
T	48.675670000	6.195980000	209.2		
T	48.675440000	6.196010000	208.6		
T	48.675320000	6.196030000	208.3		
T	48.675220000	6.196040000	208.0		
T	48.675140000	6.196050000	207.7		
T	48.675070000	6.196060000	207.4		
T	48.675000000	6.196040000	207.3		
T	48.674980000	6.196040000	207.2		
T	48.674890000	6.196000000	207.2		
T	48.674810000	6.195930000	207.2		
T	48.674760000	6.195860000	207.1		
T	48.674750000	6.195830000	207.1		
T	48.674740000	6.195810000	207.4		
T	48.674680000	6.195700000	209.4		
T	48.674590000	6.195540000	211.0		
T	48.674540000	6.195450000	210.3		
T	48.674500000	6.195380000	209.2		
T	48.674400000	6.195220000	208.7		
T	48.674310000	6.195060000	210.4		
T	48.674250000	6.194950000	209.9		
T	48.674220000	6.194890000	209.4		
T	48.674170000	6.194800000	208.3		
T	48.674120000	6.194720000	208.7		
T	48.674060000	6.194620000	209.7		
T	48.674050000	6.194600000	209.7		
T	48.674030000	6.194570000	209.7		
T	48.673960000	6.194510000	209.3		
T	48.673960000	6.194500000	209.2		
T	48.673920000	6.194480000	208.7		
T	48.673760000	6.194390000	209.0		
T	48.673650000	6.194330000	209.7		
T	48.673400000	6.194190000	210.2		
T	48.673050000	6.194000000	211.2		
T	48.672640000	6.193770000	212.9		
T	48.672630000	6.193760000	213.0		
T	48.672410000	6.193640000	213.0		
T	48.672180000	6.193520000	213.4		
T	48.672050000	6.193420000	213.9		
T	48.671790000	6.193280000	213.6		
T	48.671580000	6.193150000	213.4		
T	48.671470000	6.193060000	214.0		
T	48.671340000	6.192960000	214.2		
T	48.671200000	6.192860000	214.5		
T	48.670900000	6.192680000	214.5		
T	48.670530000	6.192470000	215.1		
T	48.670190000	6.192290000	215.5		
T	48.670090000	6.192240000	215.3		
T	48.670040000	6.192210000	215.2		
T	48.669680000	6.192010000	216.0		
T	48.669300000	6.191810000	216.8		
T	48.668760000	6.191530000	219.2		
T	48.668700000	6.191500000	219.6		
T	48.668640000	6.191470000	220.2		
T	48.668570000	6.191420000	220.8		
T	48.668530000	6.191380000	221.0		
T	48.668470000	6.191310000	221.1		
T	48.668440000	6.191280000	221.3		
T	48.668400000	6.191220000	221.8		
T	48.668320000	6.191080000	223.0		
T	48.668230000	6.190920000	223.3		
T	48.668050000	6.190710000	224.0		
T	48.668020000	6.190660000	224.1		
T	48.668000000	6.190590000	224.2		
T	48.667940000	6.190450000	224.4		
T	48.667850000	6.190260000	224.8		
T	48.667800000	6.190190000	225.2		
T	48.667750000	6.190140000	225.5		
T	48.667700000	6.190110000	225.7		
T	48.667640000	6.190080000	225.9		
T	48.667600000	6.190070000	225.9		
T	48.667500000	6.190100000	226.0		
T	48.667410000	6.190180000	226.2		
T	48.667320000	6.190250000	226.6		
T	48.667290000	6.190270000	226.7		
T	48.667140000	6.190320000	226.8		
T	48.667060000	6.190340000	226.8		
T	48.667010000	6.190350000	226.7		
T	48.666840000	6.190350000	226.8		
T	48.666760000	6.190320000	227.2		
T	48.666660000	6.190280000	228.0		
T	48.666500000	6.190210000	228.2		
T	48.665900000	6.189920000	230.0		
T	48.665830000	6.189930000	230.0		
T	48.665750000	6.189930000	230.6		
T	48.665550000	6.189840000	232.0		
T	48.664700000	6.189430000	235.2		
T	48.664410000	6.189290000	237.1		
T	48.664340000	6.189260000	237.2		
T	48.664260000	6.189220000	237.2		
T	48.664090000	6.189130000	237.5		
T	48.663750000	6.188930000	238.9		
T	48.663260000	6.188640000	239.9		
T	48.662990000	6.188490000	240.6		
T	48.662910000	6.188440000	240.8		
T	48.662740000	6.188340000	241.1		
T	48.662690000	6.188310000	241.3		
T	48.662570000	6.188290000	241.7		
T	48.662470000	6.188230000	242.0		
T	48.662280000	6.188110000	242.6		
T	48.662170000	6.188040000	243.1		
T	48.662060000	6.187970000	243.3		
T	48.661940000	6.187890000	243.4		
T	48.661800000	6.187800000	244.0		
T	48.661640000	6.187690000	244.5		
T	48.661530000	6.187620000	244.9		
T	48.661420000	6.187550000	245.7		
T	48.661320000	6.187490000	244.9		
T	48.661280000	6.187460000	244.0		
T	48.661190000	6.187410000	242.7		
T	48.661100000	6.187360000	242.0		
T	48.660870000	6.187220000	242.0		
T	48.660790000	6.187160000	242.8		
T	48.660720000	6.187130000	244.0		
T	48.660540000	6.187020000	245.9		
T	48.660090000	6.186750000	246.3		
T	48.659680000	6.186500000	247.2		
T	48.659350000	6.186310000	247.2		
T	48.658680000	6.185900000	244.0		
T	48.658600000	6.185850000	243.4		
T	48.658520000	6.185800000	244.3		
T	48.658170000	6.185600000	247.6		
T	48.657880000	6.185420000	247.8		
T	48.657630000	6.185270000	246.4		
T	48.657550000	6.185220000	245.6		
T	48.657480000	6.185180000	245.3		
T	48.657330000	6.185090000	244.2		
T	48.657190000	6.185010000	242.7		
T	48.656970000	6.184880000	246.1		
T	48.656760000	6.184750000	246.6		
T	48.656620000	6.184660000	246.2		
T	48.656530000	6.184610000	246.0		
T	48.656120000	6.184360000	245.0		
T	48.655860000	6.184200000	245.7		
T	48.655650000	6.184060000	244.7		
T	48.655210000	6.183780000	244.2		
T	48.655150000	6.183740000	244.3		
T	48.654360000	6.183220000	244.9		
T	48.654240000	6.183140000	245.3		
T	48.653770000	6.182840000	245.5		
T	48.653360000	6.182600000	245.7		
T	48.653240000	6.182530000	245.6		
T	48.652910000	6.182350000	245.8		
T	48.652830000	6.182310000	245.4		
T	48.652720000	6.182260000	245.0		
T	48.652570000	6.182190000	245.5		
T	48.652260000	6.182050000	244.9		
T	48.652110000	6.181980000	244.6		
T	48.651870000	6.181890000	244.8		
T	48.651740000	6.181840000	245.1		
T	48.651590000	6.181790000	244.8		
T	48.651390000	6.181720000	244.0		
T	48.651160000	6.181640000	244.3		
T	48.650810000	6.181540000	244.5		
T	48.650680000	6.181510000	244.6		
T	48.650490000	6.181470000	244.5		
T	48.650450000	6.181460000	244.5		
T	48.650260000	6.181420000	244.0		
T	48.650030000	6.181380000	243.9		
T	48.649640000	6.181320000	243.5		
T	48.649510000	6.181310000	243.4		
T	48.649360000	6.181290000	243.4		
T	48.649130000	6.181270000	243.7		
T	48.648980000	6.181260000	244.2		
T	48.648800000	6.181260000	244.4		
T	48.648680000	6.181250000	244.1		
T	48.648260000	6.181250000	244.5		
T	48.648150000	6.181240000	244.5		
T	48.648060000	6.181240000	244.5		
T	48.647930000	6.181250000	244.5		
T	48.647670000	6.181250000	244.7		
T	48.647380000	6.181250000	245.4		
T	48.647020000	6.181250000	246.4		
T	48.646790000	6.181240000	246.2		
T	48.646360000	6.181230000	246.6		
T	48.646190000	6.181230000	246.9		
T	48.645860000	6.181210000	247.3		
T	48.645600000	6.181190000	247.9		
T	48.645410000	6.181180000	248.1		
T	48.645240000	6.181160000	248.2		
T	48.645090000	6.181150000	248.1		
T	48.644950000	6.181140000	248.3		
T	48.644820000	6.181140000	248.7		
T	48.644630000	6.181130000	249.3		
T	48.644510000	6.181120000	249.8		
T	48.644310000	6.181110000	250.0		
T	48.644180000	6.181100000	250.1		
T	48.644070000	6.181100000	250.1		
T	48.643610000	6.181080000	250.3		
T	48.643370000	6.181070000	251.1		
T	48.643130000	6.181060000	251.3		
T	48.642770000	6.181060000	252.2		
T	48.642330000	6.181060000	252.2		
T	48.642320000	6.181060000	252.2		
T	48.641690000	6.181060000	253.8		
T	48.641620000	6.181060000	253.8		
T	48.641370000	6.181070000	254.1		
T	48.641020000	6.181080000	255.1		
T	48.640780000	6.181090000	255.3		
T	48.640400000	6.181110000	256.0		
T	48.639990000	6.181140000	256.6		
T	48.639750000	6.181160000	250.5		
T	48.639660000	6.181160000	251.4		
T	48.639370000	6.181180000	257.1		
T	48.639300000	6.181190000	257.1		
T	48.639190000	6.181200000	257.3		
T	48.639050000	6.181210000	257.6		
T	48.638950000	6.181220000	257.9		
T	48.638830000	6.181230000	258.2		
T	48.638760000	6.181240000	258.5		
T	48.638640000	6.181250000	258.9		
T	48.638520000	6.181260000	259.2		
T	48.638400000	6.181280000	259.3		
T	48.638280000	6.181290000	259.5		
T	48.637920000	6.181330000	260.4		
T	48.637810000	6.181340000	260.5		
T	48.637720000	6.181350000	260.6		
T	48.637690000	6.181360000	260.6		
T	48.637650000	6.181360000	260.8		
T	48.637430000	6.181390000	261.0		
T	48.637370000	6.181400000	261.0		
T	48.637330000	6.181400000	261.0		
T	48.637250000	6.181410000	261.0		
T	48.637080000	6.181440000	261.5		
T	48.636260000	6.181550000	262.8		
T	48.635740000	6.181620000	263.8		
T	48.635480000	6.181660000	262.4		
T	48.635370000	6.181670000	260.0		
T	48.635270000	6.181690000	258.7		
T	48.635130000	6.181710000	262.2		
T	48.634980000	6.181730000	265.0		
T	48.634630000	6.181790000	265.4		
